OrderID,Date,CustomerID,Product,Quantity,UnitPrice,ShippingAddress,PaymentMethod,OrderStatus,TrackingNumber,ItemsInCart,CouponCode,ReferralSource,TotalPrice,CouponWasMissing,TotalPrice_Capped,OrderMonth,OrderDayOfWeek,IsWeekend,UsedCoupon,CartConversionRatio,OrderValueCategory,TotalPrice_Log
ORD200017,2024-03-02,C60672,Tablet,1,423.4,382 Main St,Debit Card,Shipped,TRK11972116,3,FREESHIP,Referral,423.4,1,423.4,3,Saturday,1,0,0.333,Low,6.050676406739828
ORD200018,2025-03-26,C84329,Desk,1,431.44,891 Main St,Gift Card,Pending,TRK65191045,3,SAVE10,Facebook,431.44,0,431.44,3,Wednesday,0,1,0.333,Low,6.069443588424571
ORD200019,2023-01-23,C14552,Monitor,5,224.0,273 Main St,Cash,Returned,TRK59101365,9,SAVE10,Google,1120.0,0,1120.0,1,Monday,0,1,0.556,Medium,7.02197642307216
ORD200020,2023-05-08,C54829,Chair,5,62.51,587 Main St,Cash,Pending,TRK16718651,9,WINTER15,Instagram,312.55,0,312.55,5,Monday,0,1,0.556,Low,5.74795883698903
ORD200021,2024-11-17,C99023,Monitor,4,342.95,569 Main St,Cash,Delivered,TRK52646983,6,FREESHIP,Google,1371.8,1,1371.8,11,Sunday,1,0,0.667,High,7.224607728733698
ORD200022,2023-01-29,C34416,Monitor,2,49.62,633 Main St,Online,Pending,TRK75937350,2,SAVE10,Google,99.24,0,99.24,1,Sunday,1,1,1.0,Low,4.607567310587813
ORD200023,2025-04-09,C42372,Phone,4,273.25,755 Main St,Debit Card,Cancelled,TRK36168083,5,FREESHIP,Referral,1093.0,0,1093.0,4,Wednesday,0,1,0.8,Medium,6.9975959829819265
ORD200024,2024-10-30,C17470,Laptop,2,230.95,956 Main St,Online,Delivered,TRK28775057,3,WINTER15,Referral,461.9,0,461.9,10,Wednesday,0,1,0.667,Low,6.137511048037225
ORD200025,2024-07-24,C42577,Monitor,1,399.98,709 Main St,Debit Card,Delivered,TRK69423327,3,WINTER15,Email,399.98,0,399.98,7,Wednesday,0,1,0.333,Low,5.993911550751034
ORD200026,2024-03-06,C21944,Laptop,5,59.55,296 Main St,Online,Delivered,TRK80276812,6,FREESHIP,Referral,297.75,1,297.75,3,Wednesday,0,0,0.833,Low,5.699607103245721
ORD200027,2024-02-22,C97593,Printer,1,472.74,881 Main St,Online,Shipped,TRK89117573,6,WINTER15,Google,472.74,0,472.74,2,Thursday,0,1,0.167,Low,6.160658647994436
ORD200028,2023-11-21,C59823,Phone,4,160.07,568 Main St,Online,Pending,TRK65895539,5,FREESHIP,Email,640.28,1,640.28,11,Tuesday,0,0,0.8,Medium,6.4634661790163905
ORD200029,2024-09-20,C33260,Desk,3,423.53,930 Main St,Credit Card,Delivered,TRK59744090,6,SAVE10,Referral,1270.59,0,1270.59,9,Friday,0,1,0.5,Medium,7.148023364897515
ORD200030,2025-03-22,C44267,Monitor,2,426.7,895 Main St,Online,Pending,TRK54751444,5,SAVE10,Referral,853.4,0,853.4,3,Saturday,1,1,0.4,Medium,6.750399468205931
ORD200031,2023-06-30,C26445,Chair,3,500.08,996 Main St,Debit Card,Returned,TRK31229981,6,FREESHIP,Facebook,1500.24,1,1500.24,6,Friday,0,0,0.5,High,7.314046712256271
ORD200032,2023-05-01,C12388,Tablet,5,536.72,830 Main St,Cash,Delivered,TRK99261395,10,FREESHIP,Email,2683.6,1,2683.6,5,Monday,0,0,0.5,High,7.895287020053535
ORD200033,2023-06-05,C52184,Chair,1,162.77,912 Main St,Online,Cancelled,TRK73312471,4,WINTER15,Facebook,162.77,0,162.77,6,Monday,0,1,0.25,Low,5.098463004461776
ORD200034,2023-01-07,C67195,Chair,4,576.52,926 Main St,Credit Card,Pending,TRK55467915,5,WINTER15,Facebook,2306.08,0,2306.08,1,Saturday,1,1,0.8,High,7.743737934642305
ORD200035,2024-12-07,C50304,Monitor,2,465.15,128 Main St,Online,Shipped,TRK46850888,2,SAVE10,Facebook,930.3,0,930.3,12,Saturday,1,1,1.0,Medium,6.836581459527612
ORD200036,2025-05-08,C59337,Laptop,2,534.43,465 Main St,Debit Card,Pending,TRK50961250,5,FREESHIP,Facebook,1068.86,1,1068.86,5,Thursday,0,0,0.4,Medium,6.9752830777740105
ORD200037,2024-10-14,C10054,Laptop,2,76.74,409 Main St,Cash,Returned,TRK94005261,7,SAVE10,Instagram,153.48,0,153.48,10,Monday,0,1,0.286,Low,5.040064638120259
ORD200038,2024-12-19,C15924,Laptop,1,245.89,549 Main St,Debit Card,Delivered,TRK14835975,3,SAVE10,Google,245.89,0,245.89,12,Thursday,0,1,0.333,Low,5.508942893303274
ORD200039,2025-02-27,C96664,Printer,3,256.46,666 Main St,Credit Card,Delivered,TRK85508960,4,SAVE10,Referral,769.3799999999999,0,769.3799999999999,2,Thursday,0,1,0.75,Medium,6.646883899606956
ORD200040,2023-08-20,C84766,Desk,2,344.02,267 Main St,Online,Delivered,TRK78967923,4,FREESHIP,Instagram,688.04,0,688.04,8,Sunday,1,1,0.5,Medium,6.535299324480918
ORD200041,2023-12-05,C20212,Monitor,3,611.45,657 Main St,Gift Card,Pending,TRK69733327,4,FREESHIP,Instagram,1834.35,0,1834.35,12,Tuesday,0,1,0.75,High,7.514990477995753
ORD200042,2024-05-06,C28712,Printer,2,151.66,980 Main St,Cash,Cancelled,TRK40772558,6,FREESHIP,Instagram,303.32,1,303.32,5,Monday,0,0,0.333,Low,5.7180797793570255
ORD200043,2023-12-14,C60572,Chair,3,499.21,871 Main St,Online,Cancelled,TRK20351666,8,FREESHIP,Instagram,1497.63,1,1497.63,12,Thursday,0,0,0.375,High,7.312306636413944
ORD200044,2025-04-21,C73225,Phone,2,550.18,996 Main St,Gift Card,Returned,TRK73848522,3,FREESHIP,Referral,1100.36,0,1100.36,4,Monday,0,1,0.667,Medium,7.004301058754687
ORD200045,2024-02-10,C17388,Chair,1,317.25,157 Main St,Debit Card,Returned,TRK47077395,1,SAVE10,Facebook,317.25,0,317.25,2,Saturday,1,1,1.0,Low,5.762837237437516
ORD200046,2024-06-26,C43212,Monitor,4,550.14,223 Main St,Debit Card,Pending,TRK25100762,4,FREESHIP,Instagram,2200.56,0,2200.56,6,Wednesday,0,1,1.0,High,7.6969214789693225
ORD200047,2023-07-19,C38134,Desk,2,209.94,323 Main St,Credit Card,Returned,TRK42450754,3,FREESHIP,Email,419.88,0,419.88,7,Wednesday,0,1,0.667,Low,6.042347757422552
ORD200048,2023-08-26,C12408,Monitor,2,80.77,464 Main St,Debit Card,Shipped,TRK38938858,4,FREESHIP,Google,161.54,1,161.54,8,Saturday,1,0,0.5,Low,5.090924125325059
ORD200049,2023-10-07,C11985,Printer,1,30.44,633 Main St,Credit Card,Shipped,TRK53272402,1,SAVE10,Email,30.44,0,30.44,10,Saturday,1,1,1.0,Low,3.448080967561006
ORD200050,2023-07-31,C96494,Tablet,1,179.22,446 Main St,Online,Cancelled,TRK14675049,6,FREESHIP,Instagram,179.22,0,179.22,7,Monday,0,1,0.167,Low,5.194178326806891
ORD200051,2024-12-30,C36778,Tablet,1,388.33,434 Main St,Cash,Returned,TRK67610289,2,SAVE10,Facebook,388.33,0,388.33,12,Monday,0,1,0.5,Low,5.964427313039576
ORD200052,2024-09-08,C30513,Tablet,1,586.44,232 Main St,Online,Returned,TRK64320429,5,SAVE10,Facebook,586.44,0,586.44,9,Sunday,1,1,0.2,Medium,6.375774113143355
ORD200053,2024-05-18,C67551,Phone,4,488.78,512 Main St,Online,Returned,TRK94992552,5,FREESHIP,Google,1955.12,0,1955.12,5,Saturday,1,1,0.8,High,7.578718198406198
ORD200054,2025-03-27,C48120,Chair,1,280.25,623 Main St,Online,Pending,TRK11014449,5,WINTER15,Email,280.25,0,280.25,3,Thursday,0,1,0.2,Low,5.63924395351863
ORD200055,2025-06-24,C95984,Printer,3,344.4,565 Main St,Online,Cancelled,TRK67434829,3,FREESHIP,Facebook,1033.2,1,1033.2,6,Tuesday,0,0,1.0,Medium,6.941383459962121
ORD200056,2023-05-21,C54298,Tablet,3,479.21,566 Main St,Cash,Cancelled,TRK62902341,5,WINTER15,Referral,1437.63,0,1437.63,5,Sunday,1,1,0.6,High,7.271446550823496
ORD200057,2023-01-22,C88036,Printer,5,314.27,842 Main St,Cash,Returned,TRK52470128,6,SAVE10,Instagram,1571.35,0,1571.35,1,Sunday,1,1,0.833,High,7.360326594517573
ORD200058,2023-01-15,C60190,Phone,4,474.69,202 Main St,Gift Card,Cancelled,TRK70857868,6,SAVE10,Google,1898.76,0,1898.76,1,Sunday,1,1,0.667,High,7.549482841386547
ORD200059,2024-09-11,C97603,Chair,4,593.27,811 Main St,Online,Shipped,TRK47055028,5,FREESHIP,Facebook,2373.08,1,2373.08,9,Wednesday,0,0,0.8,High,7.772365273001161
ORD200060,2024-08-21,C39256,Desk,1,417.1,634 Main St,Debit Card,Returned,TRK23412025,3,FREESHIP,Referral,417.1,0,417.1,8,Wednesday,0,1,0.333,Low,6.03572063836252
ORD200061,2024-03-24,C61618,Desk,4,122.2,104 Main St,Cash,Delivered,TRK43458485,7,FREESHIP,Facebook,488.8,0,488.8,3,Sunday,1,1,0.571,Low,6.193997144518067
ORD200062,2023-08-22,C36497,Desk,2,43.15,691 Main St,Debit Card,Pending,TRK12102911,3,WINTER15,Email,86.3,0,86.3,8,Tuesday,0,1,0.667,Low,4.469350462845557
ORD200063,2025-02-02,C96695,Chair,1,564.86,813 Main St,Debit Card,Shipped,TRK64283851,6,WINTER15,Referral,564.86,0,564.86,2,Sunday,1,1,0.167,Medium,6.338346697783848
ORD200064,2025-06-25,C49720,Printer,3,130.61,752 Main St,Debit Card,Cancelled,TRK55785217,4,FREESHIP,Facebook,391.83,0,391.83,6,Wednesday,0,1,0.75,Low,5.973376948309326
ORD200065,2023-12-30,C97735,Monitor,5,81.7,385 Main St,Credit Card,Delivered,TRK13743703,6,FREESHIP,Instagram,408.5,1,408.5,12,Saturday,1,0,0.833,Low,6.014936903293124
ORD200066,2024-11-15,C18104,Chair,5,127.18,715 Main St,Cash,Cancelled,TRK15488568,9,SAVE10,Referral,635.9000000000001,0,635.9000000000001,11,Friday,0,1,0.556,Medium,6.45661265737732
ORD200067,2024-12-09,C25587,Printer,4,12.1,440 Main St,Debit Card,Cancelled,TRK55105323,8,FREESHIP,Google,48.4,1,48.4,12,Monday,0,0,0.5,Low,3.899950424193877
ORD200068,2023-12-11,C41598,Chair,3,490.92,709 Main St,Credit Card,Pending,TRK81665940,5,FREESHIP,Email,1472.76,0,1472.76,12,Monday,0,1,0.6,High,7.295572237239925
ORD200069,2023-05-11,C43338,Monitor,3,478.65,552 Main St,Online,Shipped,TRK35241775,4,FREESHIP,Referral,1435.95,1,1435.95,5,Thursday,0,0,0.75,High,7.270278090762471
ORD200070,2023-05-26,C25123,Desk,1,629.21,384 Main St,Gift Card,Pending,TRK27812282,2,FREESHIP,Instagram,629.21,0,629.21,5,Friday,0,1,0.5,Medium,6.446053097175699
ORD200071,2025-06-10,C37454,Monitor,3,434.45,923 Main St,Credit Card,Pending,TRK28252730,4,FREESHIP,Referral,1303.35,1,1303.35,6,Tuesday,0,0,0.75,High,7.173460111380421
ORD200072,2024-12-22,C19451,Tablet,4,589.44,942 Main St,Gift Card,Returned,TRK87787793,5,FREESHIP,Facebook,2357.76,1,2357.76,12,Sunday,1,0,0.8,High,7.7658913362074244
ORD200073,2023-05-03,C17269,Monitor,4,433.45,129 Main St,Gift Card,Cancelled,TRK79608389,4,FREESHIP,Facebook,1733.8,1,1733.8,5,Wednesday,0,0,1.0,High,7.458647411961211
ORD200074,2023-06-24,C25382,Phone,5,90.87,622 Main St,Cash,Pending,TRK64691287,5,FREESHIP,Instagram,454.35,1,454.35,6,Saturday,1,0,1.0,Low,6.121066354013828
ORD200075,2023-09-26,C80651,Tablet,3,398.17,917 Main St,Debit Card,Delivered,TRK14846720,5,SAVE10,Email,1194.51,0,1194.51,9,Tuesday,0,1,0.6,Medium,7.0863281515643575
ORD200076,2024-03-31,C58638,Laptop,4,382.88,239 Main St,Cash,Cancelled,TRK38224871,6,WINTER15,Email,1531.52,0,1531.52,3,Sunday,1,1,0.667,High,7.334668718296171
ORD200077,2024-05-24,C50121,Phone,1,583.18,348 Main St,Credit Card,Returned,TRK79810059,5,FREESHIP,Google,583.18,1,583.18,5,Friday,0,0,0.2,Medium,6.3702091545165365
ORD200078,2024-08-06,C32029,Printer,4,175.36,146 Main St,Debit Card,Delivered,TRK68535532,4,FREESHIP,Instagram,701.44,0,701.44,8,Tuesday,0,1,1.0,Medium,6.554559988307654
ORD200079,2025-03-10,C76700,Tablet,2,311.91,103 Main St,Online,Shipped,TRK13036341,2,FREESHIP,Facebook,623.82,1,623.82,3,Monday,0,0,1.0,Medium,6.437463608256437
ORD200080,2023-06-27,C29041,Phone,3,589.56,591 Main St,Online,Returned,TRK28840655,6,FREESHIP,Facebook,1768.68,1,1768.68,6,Tuesday,0,0,0.5,High,7.478554018262767
ORD200081,2023-06-08,C29314,Monitor,2,394.3,496 Main St,Cash,Shipped,TRK59876213,6,FREESHIP,Email,788.6,0,788.6,6,Thursday,0,1,0.333,Medium,6.671526488119272
ORD200082,2024-01-05,C65799,Tablet,4,565.2,971 Main St,Debit Card,Shipped,TRK66906607,9,SAVE10,Google,2260.8,0,2260.8,1,Friday,0,1,0.444,High,7.723916235437227
ORD200083,2023-08-22,C15681,Laptop,4,540.41,989 Main St,Credit Card,Cancelled,TRK75112172,6,FREESHIP,Referral,2161.64,1,2161.64,8,Tuesday,0,0,0.667,High,7.679084976594892
ORD200084,2023-08-28,C64160,Monitor,2,165.49,967 Main St,Online,Shipped,TRK34121529,4,WINTER15,Instagram,330.98,0,330.98,8,Monday,0,1,0.5,Low,5.8050747261380735
ORD200085,2024-09-09,C14553,Tablet,3,146.73,768 Main St,Cash,Delivered,TRK93538334,8,FREESHIP,Email,440.1899999999999,0,440.1899999999999,9,Monday,0,1,0.375,Low,6.08947562166464
ORD200086,2024-06-19,C88205,Printer,5,643.03,447 Main St,Online,Cancelled,TRK93504166,5,FREESHIP,Referral,3215.15,0,3215.15,6,Wednesday,0,1,1.0,High,8.075940271002207
ORD200087,2024-10-10,C91245,Tablet,3,225.11,915 Main St,Cash,Shipped,TRK46976391,4,SAVE10,Facebook,675.33,0,675.33,10,Thursday,0,1,0.75,Medium,6.516681122609335
ORD200088,2025-06-05,C75439,Desk,3,114.81,318 Main St,Gift Card,Cancelled,TRK19831653,7,FREESHIP,Google,344.43,1,344.43,6,Thursday,0,0,0.429,Low,5.84479001776017
ORD200089,2025-02-25,C17181,Printer,5,455.33,291 Main St,Credit Card,Cancelled,TRK78912978,8,FREESHIP,Google,2276.65,0,2276.65,2,Tuesday,0,1,0.625,High,7.730899488655777
ORD200090,2023-09-18,C36540,Chair,4,182.08,611 Main St,Gift Card,Delivered,TRK35828122,4,SAVE10,Email,728.32,0,728.32,9,Monday,0,1,1.0,Medium,6.592112593171004
ORD200091,2023-03-15,C98216,Laptop,5,492.75,196 Main St,Cash,Shipped,TRK40986666,6,WINTER15,Referral,2463.75,0,2463.75,3,Wednesday,0,1,0.833,High,7.80984566145515
ORD200092,2024-06-10,C29568,Printer,4,48.61,203 Main St,Online,Shipped,TRK46531075,7,FREESHIP,Facebook,194.44,0,194.44,6,Monday,0,1,0.571,Low,5.275253426949485
ORD200093,2023-01-14,C97262,Desk,4,431.01,837 Main St,Credit Card,Returned,TRK65990229,7,FREESHIP,Referral,1724.04,1,1724.04,1,Saturday,1,0,0.571,High,7.45300551760241
ORD200094,2023-02-11,C79821,Chair,1,531.18,781 Main St,Gift Card,Returned,TRK12780193,6,WINTER15,Instagram,531.18,0,531.18,2,Saturday,1,1,0.167,Medium,6.276981777980252
ORD200095,2023-03-24,C76761,Printer,4,117.51,839 Main St,Debit Card,Returned,TRK60179774,7,FREESHIP,Referral,470.04,1,470.04,3,Friday,0,0,0.571,Low,6.154943016100456
ORD200096,2024-06-01,C93007,Phone,2,232.83,103 Main St,Gift Card,Delivered,TRK85696091,7,FREESHIP,Instagram,465.66,1,465.66,6,Saturday,1,0,0.286,Low,6.1456009411189125
ORD200097,2025-01-21,C15624,Tablet,5,619.52,922 Main St,Debit Card,Pending,TRK40621141,9,FREESHIP,Email,3097.6,1,3097.6,1,Tuesday,0,0,0.556,High,8.038705675562191
ORD200098,2023-01-14,C70921,Printer,2,228.54,533 Main St,Debit Card,Pending,TRK54983109,3,FREESHIP,Email,457.08,1,457.08,1,Saturday,1,0,0.667,Low,6.1270438413498045
ORD200099,2025-04-12,C30477,Printer,1,201.58,717 Main St,Debit Card,Cancelled,TRK51829648,2,WINTER15,Email,201.58,0,201.58,4,Saturday,1,1,0.5,Low,5.311134870258651
ORD200100,2023-02-17,C74866,Phone,3,664.79,743 Main St,Online,Delivered,TRK53783265,6,FREESHIP,Facebook,1994.37,1,1994.37,2,Friday,0,0,0.5,High,7.598584775786853
ORD200101,2023-11-25,C15283,Printer,1,381.02,152 Main St,Cash,Shipped,TRK19286291,6,FREESHIP,Google,381.02,1,381.02,11,Saturday,1,0,0.167,Low,5.9454729632569885
ORD200102,2023-03-08,C18037,Laptop,2,70.34,944 Main St,Gift Card,Cancelled,TRK47362236,3,FREESHIP,Email,140.68,0,140.68,3,Wednesday,0,1,0.667,Low,4.953570993474578
ORD200103,2025-01-25,C62656,Phone,4,218.43,514 Main St,Credit Card,Cancelled,TRK86296459,9,SAVE10,Email,873.72,0,873.72,1,Saturday,1,1,0.444,Medium,6.773903835146689
ORD200104,2024-07-30,C65744,Phone,1,582.04,647 Main St,Gift Card,Delivered,TRK39906058,1,FREESHIP,Email,582.04,0,582.04,7,Tuesday,0,1,1.0,Medium,6.368255794631539
ORD200105,2024-10-24,C72290,Printer,3,185.4,810 Main St,Gift Card,Cancelled,TRK68792129,7,FREESHIP,Facebook,556.2,1,556.2,10,Thursday,0,0,0.429,Medium,6.322924241905651
ORD200106,2023-09-08,C73514,Desk,3,465.05,126 Main St,Credit Card,Cancelled,TRK96777924,3,SAVE10,Email,1395.15,0,1395.15,9,Friday,0,1,1.0,High,7.241473727406729
ORD200107,2023-03-27,C16775,Printer,5,670.75,848 Main St,Gift Card,Shipped,TRK34392124,8,FREESHIP,Instagram,3353.75,0,3330.4075,3,Monday,0,1,0.625,High,8.111150166346231
ORD200108,2024-12-28,C33099,Laptop,5,48.38,522 Main St,Gift Card,Delivered,TRK28522330,9,WINTER15,Email,241.9,0,241.9,12,Saturday,1,1,0.556,Low,5.492649836008127
ORD200109,2023-09-17,C51157,Desk,3,592.87,131 Main St,Gift Card,Shipped,TRK18674578,3,FREESHIP,Referral,1778.61,0,1778.61,9,Sunday,1,1,1.0,High,7.484149518156378
ORD200110,2024-04-21,C74562,Tablet,1,220.77,388 Main St,Gift Card,Pending,TRK32062079,5,FREESHIP,Instagram,220.77,0,220.77,4,Sunday,1,1,0.2,Low,5.401640808779938
ORD200111,2025-05-07,C95271,Desk,3,309.22,620 Main St,Online,Cancelled,TRK74904969,7,FREESHIP,Google,927.6600000000001,0,927.6600000000001,5,Wednesday,0,1,0.429,Medium,6.833742686894976
ORD200112,2023-01-01,C81366,Monitor,1,410.6,423 Main St,Online,Cancelled,TRK17062206,2,WINTER15,Referral,410.6,0,410.6,1,Sunday,1,1,0.5,Low,6.020052003959894
ORD200113,2024-01-17,C65905,Laptop,5,190.08,605 Main St,Cash,Shipped,TRK73954365,9,FREESHIP,Instagram,950.4000000000001,0,950.4000000000001,1,Wednesday,0,1,0.556,Medium,6.857934583998182
ORD200114,2025-01-27,C77272,Monitor,5,498.48,115 Main St,Online,Pending,TRK29708128,8,SAVE10,Google,2492.4,0,2492.4,1,Monday,0,1,0.625,High,7.821402519910874
ORD200115,2023-11-27,C32580,Phone,5,374.99,122 Main St,Online,Shipped,TRK23670394,9,SAVE10,Facebook,1874.95,0,1874.95,11,Monday,0,1,0.556,High,7.536870476758962
ORD200116,2023-03-19,C47761,Printer,4,291.35,109 Main St,Credit Card,Cancelled,TRK66669207,6,WINTER15,Facebook,1165.4,0,1165.4,3,Sunday,1,1,0.667,Medium,7.061677361254394
ORD200117,2023-03-08,C49187,Tablet,1,535.5,593 Main St,Gift Card,Cancelled,TRK81888598,5,WINTER15,Referral,535.5,0,535.5,3,Wednesday,0,1,0.2,Medium,6.285066562070753
ORD200118,2023-10-09,C27898,Printer,5,502.71,807 Main St,Gift Card,Shipped,TRK61957665,7,FREESHIP,Google,2513.55,0,2513.55,10,Monday,0,1,0.714,High,7.829849140083242
ORD200119,2025-06-11,C14683,Desk,2,534.67,187 Main St,Debit Card,Shipped,TRK47373682,7,FREESHIP,Referral,1069.34,0,1069.34,6,Wednesday,0,1,0.286,Medium,6.975731633991231
ORD200120,2023-04-11,C58108,Tablet,4,629.34,986 Main St,Cash,Cancelled,TRK66218053,4,WINTER15,Instagram,2517.36,0,2517.36,4,Tuesday,0,1,1.0,High,7.831363174996565
ORD200121,2023-11-30,C89822,Desk,1,410.78,673 Main St,Cash,Cancelled,TRK24138598,1,FREESHIP,Instagram,410.78,0,410.78,11,Thursday,0,1,1.0,Low,6.020489226148598
ORD200122,2024-04-15,C96787,Laptop,2,533.02,588 Main St,Gift Card,Shipped,TRK30422853,2,FREESHIP,Facebook,1066.04,1,1066.04,4,Monday,0,0,1.0,Medium,6.972643738883996
ORD200123,2023-07-06,C86064,Desk,3,278.04,727 Main St,Online,Delivered,TRK62182901,5,FREESHIP,Instagram,834.1200000000001,1,834.1200000000001,7,Thursday,0,0,0.6,Medium,6.727575427100043
ORD200124,2024-07-28,C97148,Printer,4,283.79,563 Main St,Online,Pending,TRK85321126,8,FREESHIP,Google,1135.16,1,1135.16,7,Sunday,1,0,0.5,Medium,7.035409434433784
ORD200125,2024-11-06,C91099,Phone,2,512.65,758 Main St,Credit Card,Shipped,TRK81846174,5,SAVE10,Email,1025.3,0,1025.3,11,Wednesday,0,1,0.4,Medium,6.933715380651669
ORD200126,2025-05-03,C55606,Desk,4,275.5,353 Main St,Gift Card,Shipped,TRK68250319,8,FREESHIP,Google,1102.0,0,1102.0,5,Saturday,1,1,0.5,Medium,7.005789019253503
ORD200127,2023-08-10,C71486,Desk,3,469.32,365 Main St,Debit Card,Shipped,TRK73929833,3,FREESHIP,Google,1407.96,1,1407.96,8,Thursday,0,0,1.0,High,7.250607122567389
ORD200128,2023-02-17,C86408,Tablet,4,21.07,244 Main St,Gift Card,Delivered,TRK41432648,4,FREESHIP,Google,84.28,0,84.28,2,Friday,0,1,1.0,Low,4.445939960417534
ORD200129,2023-10-27,C52751,Laptop,4,263.93,427 Main St,Debit Card,Shipped,TRK72481234,4,FREESHIP,Facebook,1055.72,0,1055.72,10,Friday,0,1,1.0,Medium,6.962925050115608
ORD200130,2025-01-22,C29059,Desk,3,501.3,513 Main St,Online,Cancelled,TRK88360704,3,WINTER15,Facebook,1503.9,0,1503.9,1,Wednesday,0,1,1.0,High,7.316481729792673
ORD200131,2023-01-08,C72862,Tablet,1,84.8,606 Main St,Gift Card,Pending,TRK51648833,5,FREESHIP,Instagram,84.8,1,84.8,1,Sunday,1,0,0.2,Low,4.4520190064939165
ORD200132,2023-03-28,C96257,Tablet,4,450.75,583 Main St,Credit Card,Shipped,TRK13137948,6,WINTER15,Email,1803.0,0,1803.0,3,Tuesday,0,1,0.667,High,7.4977617006225685
ORD200133,2025-06-20,C87432,Chair,4,302.05,636 Main St,Debit Card,Cancelled,TRK68969625,6,SAVE10,Google,1208.2,0,1208.2,6,Friday,0,1,0.667,Medium,7.097714262905303
ORD200134,2025-06-23,C16253,Laptop,2,199.7,583 Main St,Cash,Pending,TRK17354894,4,FREESHIP,Email,399.4,1,399.4,6,Monday,0,0,0.5,Low,5.992464047441065
ORD200135,2023-08-04,C79909,Printer,2,68.81,642 Main St,Gift Card,Shipped,TRK86742257,5,SAVE10,Referral,137.62,0,137.62,8,Friday,0,1,0.4,Low,4.931736376489838
